,nombres,total,hp,attack,defense,sp_atack,sp_defense,speed
601,Manaphy,600,100,100,100,100,100,100
602,Darkrai,600,70,90,90,135,90,125
603,Shaymin Land Forme,600,100,100,100,100,100,100
604,Shaymin Sky Forme,600,100,103,75,120,75,127
605,Arceus,720,120,120,120,120,120,120
606,Victini,600,100,100,100,100,100,100
607,Snivy,308,45,45,55,45,55,63
608,Servine,413,60,60,75,60,75,83
609,Serperior,528,75,75,95,75,95,113
610,Tepig,308,65,63,45,45,45,45
611,Pignite,418,90,93,55,70,55,55
612,Emboar,528,110,123,65,100,65,65
613,Oshawott,308,55,55,45,63,45,45
614,Dewott,413,75,75,60,83,60,60
615,Samurott,528,95,100,85,108,70,70
616,Samurott Hisuian Samurott,528,90,108,80,100,65,85
617,Patrat,255,45,55,39,35,39,42
618,Watchog,420,60,85,69,60,69,77
619,Lillipup,275,45,60,45,25,45,55
620,Herdier,370,65,80,65,35,65,60
621,Stoutland,500,85,110,90,45,90,80
622,Purrloin,281,41,50,37,50,37,66
623,Liepard,446,64,88,50,88,50,106
624,Pansage,316,50,53,48,53,48,64
625,Simisage,498,75,98,63,98,63,101
626,Pansear,316,50,53,48,53,48,64
627,Simisear,498,75,98,63,98,63,101
628,Panpour,316,50,53,48,53,48,64
629,Simipour,498,75,98,63,98,63,101
630,Munna,292,76,25,45,67,55,24
631,Musharna,487,116,55,85,107,95,29
632,Pidove,264,50,55,50,36,30,43
633,Tranquill,358,62,77,62,50,42,65
634,Unfezant,488,80,115,80,65,55,93
635,Blitzle,295,45,60,32,50,32,76
636,Zebstrika,497,75,100,63,80,63,116
637,Roggenrola,280,55,75,85,25,25,15
638,Boldore,390,70,105,105,50,40,20
639,Gigalith,515,85,135,130,60,80,25
640,Woobat,323,65,45,43,55,43,72
641,Swoobat,425,67,57,55,77,55,114
642,Drilbur,328,60,85,40,30,45,68
643,Excadrill,508,110,135,60,50,65,88
644,Audino,445,103,60,86,60,86,50
645,Audino Mega Audino,545,103,60,126,80,126,50
646,Timburr,305,75,80,55,25,35,35
647,Gurdurr,405,85,105,85,40,50,40
648,Conkeldurr,505,105,140,95,55,65,45
649,Tympole,294,50,50,40,50,40,64
650,Palpitoad,384,75,65,55,65,55,69
651,Seismitoad,509,105,95,75,85,75,74
652,Throh,465,120,100,85,30,85,45
653,Sawk,465,75,125,75,30,75,85
654,Sewaddle,310,45,53,70,40,60,42
655,Swadloon,380,55,63,90,50,80,42
656,Leavanny,500,75,103,80,70,80,92
657,Venipede,260,30,45,59,30,39,57
658,Whirlipede,360,40,55,99,40,79,47
659,Scolipede,485,60,100,89,55,69,112
660,Cottonee,280,40,27,60,37,50,66
661,Whimsicott,480,60,67,85,77,75,116
662,Petilil,280,45,35,50,70,50,30
663,Lilligant,480,70,60,75,110,75,90
664,Lilligant Hisuian Lilligant,480,70,105,75,50,75,105
665,Basculin Red-Striped Form,460,70,92,65,80,55,98
666,Basculin Blue-Striped Form,460,70,92,65,80,55,98
667,Basculin White-Striped Form,460,70,92,65,80,55,98
668,Sandile,292,50,72,35,35,35,65
669,Krokorok,351,60,82,45,45,45,74
670,Krookodile,519,95,117,80,65,70,92
671,Darumaka,315,70,90,45,15,45,50
672,Darumaka Galarian Darumaka,315,70,90,45,15,45,50
673,Darmanitan Standard Mode,480,105,140,55,30,55,95
674,Darmanitan Zen Mode,540,105,30,105,140,105,55
675,Darmanitan Galarian Standard Mode,480,105,140,55,30,55,95
676,Darmanitan Galarian Zen Mode,540,105,160,55,30,55,135
677,Maractus,461,75,86,67,106,67,60
678,Dwebble,325,50,65,85,35,35,55
679,Crustle,485,70,105,125,65,75,45
680,Scraggy,348,50,75,70,35,70,48
681,Scrafty,488,65,90,115,45,115,58
682,Sigilyph,490,72,58,80,103,80,97
683,Yamask,303,38,30,85,55,65,30
684,Yamask Galarian Yamask,303,38,55,85,30,65,30
685,Cofagrigus,483,58,50,145,95,105,30
686,Tirtouga,355,54,78,103,53,45,22
687,Carracosta,495,74,108,133,83,65,32
688,Archen,401,55,112,45,74,45,70
689,Archeops,567,75,140,65,112,65,110
690,Trubbish,329,50,50,62,40,62,65
691,Garbodor,474,80,95,82,60,82,75
692,Zorua,330,40,65,40,80,40,65
693,Zorua Hisuian Zorua,330,35,60,40,85,40,70
694,Zoroark,510,60,105,60,120,60,105
695,Zoroark Hisuian Zoroark,510,60,105,60,120,60,105
696,Minccino,300,55,50,40,40,40,75
697,Cinccino,470,75,95,60,65,60,115
698,Gothita,290,45,30,50,55,65,45
699,Gothorita,390,60,45,70,75,85,55
700,Gothitelle,490,70,55,95,95,110,65
701,Solosis,290,45,30,40,105,50,20
702,Duosion,370,65,40,50,125,60,30
703,Reuniclus,490,110,65,75,125,85,30
704,Ducklett,305,62,44,50,44,50,55
705,Swanna,473,75,87,63,87,63,98
706,Vanillite,305,36,50,50,65,60,44
707,Vanillish,395,51,65,65,80,75,59
708,Vanilluxe,535,71,95,85,110,95,79
709,Deerling,335,60,60,50,40,50,75
710,Sawsbuck,475,80,100,70,60,70,95
711,Emolga,428,55,75,60,75,60,103
712,Karrablast,315,50,75,45,40,45,60
713,Escavalier,495,70,135,105,60,105,20
714,Foongus,294,69,55,45,55,55,15
715,Amoonguss,464,114,85,70,85,80,30
716,Frillish,335,55,40,50,65,85,40
717,Jellicent,480,100,60,70,85,105,60
718,Alomomola,470,165,75,80,40,45,65
719,Joltik,319,50,47,50,57,50,65
720,Galvantula,472,70,77,60,97,60,108
721,Ferroseed,305,44,50,91,24,86,10
722,Ferrothorn,489,74,94,131,54,116,20
723,Klink,300,40,55,70,45,60,30
724,Klang,440,60,80,95,70,85,50
725,Klinklang,520,60,100,115,70,85,90
726,Tynamo,275,35,55,40,45,40,60
727,Eelektrik,405,65,85,70,75,70,40
728,Eelektross,515,85,115,80,105,80,50
729,Elgyem,335,55,55,55,85,55,30
730,Beheeyem,485,75,75,75,125,95,40
731,Litwick,275,50,30,55,65,55,20
732,Lampent,370,60,40,60,95,60,55
733,Chandelure,520,60,55,90,145,90,80
734,Axew,320,46,87,60,30,40,57
735,Fraxure,410,66,117,70,40,50,67
736,Haxorus,540,76,147,90,60,70,97
737,Cubchoo,305,55,70,40,60,40,40
738,Beartic,505,95,130,80,70,80,50
739,Cryogonal,515,80,50,50,95,135,105
740,Shelmet,305,50,40,85,40,65,25
741,Accelgor,495,80,70,40,100,60,145
742,Stunfisk,471,109,66,84,81,99,32
743,Stunfisk Galarian Stunfisk,471,109,81,99,66,84,32
744,Mienfoo,350,45,85,50,55,50,65
745,Mienshao,510,65,125,60,95,60,105
746,Druddigon,485,77,120,90,60,90,48
747,Golett,303,59,74,50,35,50,35
748,Golurk,483,89,124,80,55,80,55
749,Pawniard,340,45,85,70,40,40,60
750,Bisharp,490,65,125,100,60,70,70
751,Bouffalant,490,95,110,95,40,95,55
752,Rufflet,350,70,83,50,37,50,60
753,Braviary,510,100,123,75,57,75,80
754,Braviary Hisuian Braviary,510,110,83,70,112,70,65
755,Vullaby,370,70,55,75,45,65,60
756,Mandibuzz,510,110,65,105,55,95,80
757,Heatmor,484,85,97,66,105,66,65
758,Durant,484,58,109,112,48,48,109
759,Deino,300,52,65,50,45,50,38
760,Zweilous,420,72,85,70,65,70,58
761,Hydreigon,600,92,105,90,125,90,98
762,Larvesta,360,55,85,55,50,55,60
763,Volcarona,550,85,60,65,135,105,100
764,Cobalion,580,91,90,129,90,72,108
765,Terrakion,580,91,129,90,72,90,108
766,Virizion,580,91,90,72,90,129,108
767,Tornadus Incarnate Forme,580,79,115,70,125,80,111
768,Tornadus Therian Forme,580,79,100,80,110,90,121
769,Thundurus Incarnate Forme,580,79,115,70,125,80,111
770,Thundurus Therian Forme,580,79,105,70,145,80,101
771,Reshiram,680,100,120,100,150,120,90
772,Zekrom,680,100,150,120,120,100,90
773,Landorus Incarnate Forme,600,89,125,90,115,80,101
774,Landorus Therian Forme,600,89,145,90,105,80,91
775,Kyurem,660,125,130,90,130,90,95
776,Kyurem White Kyurem,700,125,120,90,170,100,95
777,Kyurem Black Kyurem,700,125,170,100,120,90,95
778,Keldeo Ordinary Form,580,91,72,90,129,90,108
779,Keldeo Resolute Form,580,91,72,90,129,90,108
780,Meloetta Aria Forme,600,100,77,77,128,128,90
781,Meloetta Pirouette Forme,600,100,128,90,77,77,128
782,Genesect,600,71,120,95,120,95,99
783,Chespin,313,56,61,65,48,45,38
784,Quilladin,405,61,78,95,56,58,57
785,Chesnaught,530,88,107,122,74,75,64
786,Fennekin,307,40,45,40,62,60,60
787,Braixen,409,59,59,58,90,70,73
788,Delphox,534,75,69,72,114,100,104
789,Froakie,314,41,56,40,62,44,71
790,Frogadier,405,54,63,52,83,56,97
791,Greninja,530,72,95,67,103,71,122
792,Greninja Ash-Greninja,640,72,145,67,153,71,132
793,Bunnelby,237,38,36,38,32,36,57
794,Diggersby,423,85,56,77,50,77,78
795,Fletchling,278,45,50,43,40,38,62
796,Fletchinder,382,62,73,55,56,52,84
797,Talonflame,499,78,81,71,74,69,126
798,Scatterbug,200,38,35,40,27,25,35
799,Spewpa,213,45,22,60,27,30,29
800,Vivillon,411,80,52,50,90,50,89
801,Litleo,369,62,50,58,73,54,72
802,Pyroar,507,86,68,72,109,66,106
803,Flabébé,303,44,38,39,61,79,42
804,Floette,371,54,45,47,75,98,52
805,Florges,552,78,65,68,112,154,75
806,Skiddo,350,66,65,48,62,57,52
807,Gogoat,531,123,100,62,97,81,68
808,Pancham,348,67,82,62,46,48,43
809,Pangoro,495,95,124,78,69,71,58
810,Furfrou,472,75,80,60,65,90,102
811,Espurr,355,62,48,54,63,60,68
812,Meowstic Male,466,74,48,76,83,81,104
813,Meowstic Female,466,74,48,76,83,81,104
814,Honedge,325,45,80,100,35,37,28
815,Doublade,448,59,110,150,45,49,35
816,Aegislash Shield Forme,500,60,50,140,50,140,60
817,Aegislash Blade Forme,500,60,140,50,140,50,60
818,Spritzee,341,78,52,60,63,65,23
819,Aromatisse,462,101,72,72,99,89,29
820,Swirlix,341,62,48,66,59,57,49
821,Slurpuff,480,82,80,86,85,75,72
822,Inkay,288,53,54,53,37,46,45
823,Malamar,482,86,92,88,68,75,73
824,Binacle,306,42,52,67,39,56,50
825,Barbaracle,500,72,105,115,54,86,68
826,Skrelp,320,50,60,60,60,60,30
827,Dragalge,494,65,75,90,97,123,44
828,Clauncher,330,50,53,62,58,63,44
829,Clawitzer,500,71,73,88,120,89,59
830,Helioptile,289,44,38,33,61,43,70
831,Heliolisk,481,62,55,52,109,94,109
832,Tyrunt,362,58,89,77,45,45,48
833,Tyrantrum,521,82,121,119,69,59,71
834,Amaura,362,77,59,50,67,63,46
835,Aurorus,521,123,77,72,99,92,58
836,Sylveon,525,95,65,65,110,130,60
837,Hawlucha,500,78,92,75,74,63,118
838,Dedenne,431,67,58,57,81,67,101
839,Carbink,500,50,50,150,50,150,50
840,Goomy,300,45,50,35,55,75,40
841,Sliggoo,452,68,75,53,83,113,60
842,Sliggoo Hisuian Sliggoo,452,58,75,83,83,113,40
843,Goodra,600,90,100,70,110,150,80
844,Goodra Hisuian Goodra,600,80,100,100,110,150,60
845,Klefki,470,57,80,91,80,87,75
846,Phantump,309,43,70,48,50,60,38
847,Trevenant,474,85,110,76,65,82,56
848,Pumpkaboo Average Size,335,49,66,70,44,55,51
849,Pumpkaboo Small Size,335,44,66,70,44,55,56
850,Pumpkaboo Large Size,335,54,66,70,44,55,46
851,Pumpkaboo Super Size,335,59,66,70,44,55,41
852,Gourgeist Average Size,494,65,90,122,58,75,84
853,Gourgeist Small Size,494,55,85,122,58,75,99
854,Gourgeist Large Size,494,75,95,122,58,75,69
855,Gourgeist Super Size,494,85,100,122,58,75,54
856,Bergmite,304,55,69,85,32,35,28
857,Avalugg,514,95,117,184,44,46,28
858,Avalugg Hisuian Avalugg,514,95,127,184,34,36,38
859,Noibat,245,40,30,35,45,40,55
860,Noivern,535,85,70,80,97,80,123
861,Xerneas,680,126,131,95,131,98,99
862,Yveltal,680,126,131,95,131,98,99
863,Zygarde 50% Forme,600,108,100,121,81,95,95
864,Zygarde 10% Forme,486,54,100,71,61,85,115
865,Zygarde Complete Forme,708,216,100,121,91,95,85
866,Diancie,600,50,100,150,100,150,50
867,Diancie Mega Diancie,700,50,160,110,160,110,110
868,Hoopa Hoopa Confined,600,80,110,60,150,130,70
869,Hoopa Hoopa Unbound,680,80,160,60,170,130,80
870,Volcanion,600,80,110,120,130,90,70
871,Rowlet,320,68,55,55,50,50,42
872,Dartrix,420,78,75,75,70,70,52
873,Decidueye,530,78,107,75,100,100,70
874,Decidueye Hisuian Decidueye,530,88,112,80,95,95,60
875,Litten,320,45,65,40,60,40,70
876,Torracat,420,65,85,50,80,50,90
877,Incineroar,530,95,115,90,80,90,60
878,Popplio,320,50,54,54,66,56,40
879,Brionne,420,60,69,69,91,81,50
880,Primarina,530,80,74,74,126,116,60
881,Pikipek,265,35,75,30,30,30,65
882,Trumbeak,355,55,85,50,40,50,75
883,Toucannon,485,80,120,75,75,75,60
884,Yungoos,253,48,70,30,30,30,45
885,Gumshoos,418,88,110,60,55,60,45
886,Grubbin,300,47,62,45,55,45,46
887,Charjabug,400,57,82,95,55,75,36
888,Vikavolt,500,77,70,90,145,75,43
889,Crabrawler,338,47,82,57,42,47,63
890,Crabominable,478,97,132,77,62,67,43
891,Oricorio Baile Style,476,75,70,70,98,70,93
892,Oricorio Pom-Pom Style,476,75,70,70,98,70,93
893,Oricorio Pa'u Style,476,75,70,70,98,70,93
894,Oricorio Sensu Style,476,75,70,70,98,70,93
895,Cutiefly,304,40,45,40,55,40,84
896,Ribombee,464,60,55,60,95,70,124
897,Rockruff,280,45,65,40,30,40,60
898,Rockruff Own Tempo Rockruff,280,45,65,40,30,40,60
899,Lycanroc Midday Form,487,75,115,65,55,65,112
900,Lycanroc Midnight Form,487,85,115,75,55,75,82
901,Lycanroc Dusk Form,487,75,117,65,55,65,110
902,Wishiwashi Solo Form,175,45,20,20,25,25,40
903,Wishiwashi School Form,620,45,140,130,140,135,30
904,Mareanie,305,50,53,62,43,52,45
905,Toxapex,495,50,63,152,53,142,35
906,Mudbray,385,70,100,70,45,55,45
907,Mudsdale,500,100,125,100,55,85,35
908,Dewpider,269,38,40,52,40,72,27
909,Araquanid,454,68,70,92,50,132,42
910,Fomantis,250,40,55,35,50,35,35
911,Lurantis,480,70,105,90,80,90,45
912,Morelull,285,40,35,55,65,75,15
913,Shiinotic,405,60,45,80,90,100,30
914,Salandit,320,48,44,40,71,40,77
915,Salazzle,480,68,64,60,111,60,117
916,Stufful,340,70,75,50,45,50,50
917,Bewear,500,120,125,80,55,60,60
918,Bounsweet,210,42,30,38,30,38,32
919,Steenee,290,52,40,48,40,48,62
920,Tsareena,510,72,120,98,50,98,72
921,Comfey,485,51,52,90,82,110,100
922,Oranguru,490,90,60,80,90,110,60
923,Passimian,490,100,120,90,40,60,80
924,Wimpod,230,25,35,40,20,30,80
925,Golisopod,530,75,125,140,60,90,40
926,Sandygast,320,55,55,80,70,45,15
927,Palossand,480,85,75,110,100,75,35
928,Pyukumuku,410,55,60,130,30,130,5
929,Type: Null,534,95,95,95,95,95,59
930,Silvally,570,95,95,95,95,95,95
931,Minior Meteor Form,440,60,60,100,60,100,60
932,Minior Core Form,500,60,100,60,100,60,120
933,Komala,480,65,115,65,75,95,65
934,Turtonator,485,60,78,135,91,85,36
935,Togedemaru,435,65,98,63,40,73,96
936,Mimikyu,476,55,90,80,50,105,96
937,Bruxish,475,68,105,70,70,70,92
938,Drampa,485,78,60,85,135,91,36
939,Dhelmise,517,70,131,100,86,90,40
940,Jangmo-o,300,45,55,65,45,45,45
941,Hakamo-o,420,55,75,90,65,70,65
942,Kommo-o,600,75,110,125,100,105,85
943,Tapu Koko,570,70,115,85,95,75,130
944,Tapu Lele,570,70,85,75,130,115,95
945,Tapu Bulu,570,70,130,115,85,95,75
946,Tapu Fini,570,70,75,115,95,130,85
947,Cosmog,200,43,29,31,29,31,37
948,Cosmoem,400,43,29,131,29,131,37
949,Solgaleo,680,137,137,107,113,89,97
950,Lunala,680,137,113,89,137,107,97
951,Nihilego,570,109,53,47,127,131,103
952,Buzzwole,570,107,139,139,53,53,79
953,Pheromosa,570,71,137,37,137,37,151
954,Xurkitree,570,83,89,71,173,71,83
955,Celesteela,570,97,101,103,107,101,61
956,Kartana,570,59,181,131,59,31,109
957,Guzzlord,570,223,101,53,97,53,43
958,Necrozma,600,97,107,101,127,89,79
959,Necrozma Dusk Mane Necrozma,680,97,157,127,113,109,77
960,Necrozma Dawn Wings Necrozma,680,97,113,109,157,127,77
961,Necrozma Ultra Necrozma,754,97,167,97,167,97,129
962,Magearna,600,80,95,115,130,115,65
963,Marshadow,600,90,125,80,90,90,125
964,Poipole,420,67,73,67,73,67,73
965,Naganadel,540,73,73,73,127,73,121
966,Stakataka,570,61,131,211,53,101,13
967,Blacephalon,570,53,127,53,151,79,107
968,Zeraora,600,88,112,75,102,80,143
969,Meltan,300,46,65,65,55,35,34
970,Melmetal,600,135,143,143,80,65,34
971,Grookey,310,50,65,50,40,40,65
972,Thwackey,420,70,85,70,55,60,80
973,Rillaboom,530,100,125,90,60,70,85
974,Scorbunny,310,50,71,40,40,40,69
975,Raboot,420,65,86,60,55,60,94
976,Cinderace,530,80,116,75,65,75,119
977,Sobble,310,50,40,40,70,40,70
978,Drizzile,420,65,60,55,95,55,90
979,Inteleon,530,70,85,65,125,65,120
980,Skwovet,275,70,55,55,35,35,25
981,Greedent,460,120,95,95,55,75,20
982,Rookidee,245,38,47,35,33,35,57
983,Corvisquire,365,68,67,55,43,55,77
984,Corviknight,495,98,87,105,53,85,67
985,Blipbug,180,25,20,20,25,45,45
986,Dottler,335,50,35,80,50,90,30
987,Orbeetle,505,60,45,110,80,120,90
988,Nickit,245,40,28,28,47,52,50
989,Thievul,455,70,58,58,87,92,90
990,Gossifleur,250,40,40,60,40,60,10
991,Eldegoss,460,60,50,90,80,120,60
992,Wooloo,270,42,40,55,40,45,48
993,Dubwool,490,72,80,100,60,90,88
994,Chewtle,284,50,64,50,38,38,44
995,Drednaw,485,90,115,90,48,68,74
996,Yamper,270,59,45,50,40,50,26
997,Boltund,490,69,90,60,90,60,121
998,Rolycoly,240,30,40,50,40,50,30
999,Carkol,410,80,60,90,60,70,50
1000,Coalossal,510,110,80,120,80,90,30
1001,Applin,260,40,40,80,40,40,20
1002,Flapple,485,70,110,80,95,60,70
1003,Appletun,485,110,85,80,100,80,30
1004,Silicobra,315,52,57,75,35,50,46
1005,Sandaconda,510,72,107,125,65,70,71
1006,Cramorant,475,70,85,55,85,95,85
1007,Arrokuda,280,41,63,40,40,30,66
1008,Barraskewda,490,61,123,60,60,50,136
1009,Toxel,242,40,38,35,54,35,40
1010,Toxtricity Amped Form,502,75,98,70,114,70,75
1011,Toxtricity Low Key Form,502,75,98,70,114,70,75
1012,Sizzlipede,305,50,65,45,50,50,45
1013,Centiskorch,525,100,115,65,90,90,65
1014,Clobbopus,310,50,68,60,50,50,32
1015,Grapploct,480,80,118,90,70,80,42
1016,Sinistea,308,40,45,45,74,54,50
1017,Polteageist,508,60,65,65,134,114,70
1018,Hatenna,265,42,30,45,56,53,39
1019,Hattrem,370,57,40,65,86,73,49
1020,Hatterene,510,57,90,95,136,103,29
1021,Impidimp,265,45,45,30,55,40,50
1022,Morgrem,370,65,60,45,75,55,70
1023,Grimmsnarl,510,95,120,65,95,75,60
1024,Obstagoon,520,93,90,101,60,81,95
1025,Perrserker,440,70,110,100,50,60,50
1026,Cursola,510,60,95,50,145,130,30
1027,Sirfetch'd,507,62,135,95,68,82,65
1028,Mr. Rime,520,80,85,75,110,100,70
1029,Runerigus,483,58,95,145,50,105,30
1030,Milcery,270,45,40,40,50,61,34
1031,Alcremie,495,65,60,75,110,121,64
1032,Falinks,470,65,100,100,70,60,75
1033,Pincurchin,435,48,101,95,91,85,15
1034,Snom,185,30,25,35,45,30,20
1035,Frosmoth,475,70,65,60,125,90,65
1036,Stonjourner,470,100,125,135,20,20,70
1037,Eiscue Ice Face,470,75,80,110,65,90,50
1038,Eiscue Noice Face,470,75,80,70,65,50,130
1039,Indeedee Male,475,60,65,55,105,95,95
1040,Indeedee Female,475,70,55,65,95,105,85
1041,Morpeko Full Belly Mode,436,58,95,58,70,58,97
1042,Morpeko Hangry Mode,436,58,95,58,70,58,97
1043,Cufant,330,72,80,49,40,49,40
1044,Copperajah,500,122,130,69,80,69,30
1045,Dracozolt,505,90,100,90,80,70,75
1046,Arctozolt,505,90,100,90,90,80,55
1047,Dracovish,505,90,90,100,70,80,75
1048,Arctovish,505,90,90,100,80,90,55
1049,Duraludon,535,70,95,115,120,50,85
1050,Dreepy,270,28,60,30,40,30,82
1051,Drakloak,410,68,80,50,60,50,102
1052,Dragapult,600,88,120,75,100,75,142
1053,Zacian Hero of Many Battles,660,92,120,115,80,115,138
1054,Zacian Crowned Sword,700,92,150,115,80,115,148
1055,Zamazenta Hero of Many Battles,660,92,120,115,80,115,138
1056,Zamazenta Crowned Shield,700,92,120,140,80,140,128
1057,Eternatus,690,140,85,95,145,95,130
1058,Eternatus Eternamax,1125,255,115,250,125,250,130
1059,Kubfu,385,60,90,60,53,50,72
1060,Urshifu Single Strike Style,550,100,130,100,63,60,97
1061,Urshifu Rapid Strike Style,550,100,130,100,63,60,97
1062,Zarude,600,105,120,105,70,95,105
1063,Regieleki,580,80,100,50,100,50,200
1064,Regidrago,580,200,100,50,100,50,80
1065,Glastrier,580,100,145,130,65,110,30
1066,Spectrier,580,100,65,60,145,80,130
1067,Calyrex,500,100,80,80,80,80,80
1068,Calyrex Ice Rider,680,100,165,150,85,130,50
1069,Calyrex Shadow Rider,680,100,85,80,165,100,150
1070,Wyrdeer,525,103,105,72,105,75,65
1071,Kleavor,500,70,130,95,45,75,85
1072,Ursaluna,550,130,140,105,45,80,50
1073,Basculegion Male,530,120,112,65,80,75,78
1074,Basculegion Female,530,120,92,65,100,75,78
1075,Sneasler,510,80,130,60,40,80,120
1076,Overqwil,510,85,115,95,65,65,85
1077,Enamorus Incarnate Forme,580,74,115,70,135,80,106
1078,Enamorus Therian Forme,580,74,115,110,135,100,46
1079,Sprigatito,310,40,61,54,45,45,65
1080,Floragato,410,61,80,63,60,63,83
1081,Meowscarada,530,76,110,70,81,70,123
1082,Fuecoco,310,67,45,59,63,40,36
1083,Crocalor,411,81,55,78,90,58,49
1084,Skeledirge,530,104,75,100,110,75,66
1085,Quaxly,310,55,65,45,50,45,50
1086,Quaxwell,410,70,85,65,65,60,65
1087,Quaquaval,530,85,120,80,85,75,85
1088,Lechonk,254,54,45,40,35,45,35
1089,Oinkologne Male,489,110,100,75,59,80,65
1090,Oinkologne Female,489,115,90,70,59,90,65
1091,Tarountula,210,35,41,45,29,40,20
1092,Spidops,404,60,79,92,52,86,35
1093,Nymble,210,33,46,40,21,25,45
1094,Lokix,450,71,102,78,52,55,92
1095,Pawmi,240,45,50,20,40,25,60
1096,Pawmo,350,60,75,40,50,40,85
1097,Pawmot,490,70,115,70,70,60,105
1098,Tandemaus,305,50,50,45,40,45,75
1099,Maushold Family of Three,470,74,75,70,65,75,111
1100,Maushold Family of Four,470,74,75,70,65,75,111
1101,Fidough,312,37,55,70,30,55,65
1102,Dachsbun,477,57,80,115,50,80,95
1103,Smoliv,260,41,35,45,58,51,30
1104,Dolliv,354,52,53,60,78,78,33
1105,Arboliva,510,78,69,90,125,109,39
1106,Squawkabilly Green Plumage,417,82,96,51,45,51,92
1107,Squawkabilly Blue Plumage,417,82,96,51,45,51,92
1108,Squawkabilly Yellow Plumage,417,82,96,51,45,51,92
1109,Squawkabilly White Plumage,417,82,96,51,45,51,92
1110,Nacli,280,55,55,75,35,35,25
1111,Naclstack,355,60,60,100,35,65,35
1112,Garganacl,500,100,100,130,45,90,35
1113,Charcadet,255,40,50,40,50,40,35
1114,Armarouge,525,85,60,100,125,80,75
1115,Ceruledge,525,75,125,80,60,100,85
1116,Tadbulb,272,61,31,41,59,35,45
1117,Bellibolt,495,109,64,91,103,83,45
1118,Wattrel,280,40,40,35,55,40,70
1119,Kilowattrel,490,70,70,60,105,60,125
1120,Maschiff,340,60,78,60,40,51,51
1121,Mabosstiff,505,80,120,90,60,70,85
1122,Shroodle,290,40,65,35,40,35,75
1123,Grafaiai,485,63,95,65,80,72,110
1124,Bramblin,275,40,65,30,45,35,60
1125,Brambleghast,480,55,115,70,80,70,90
1126,Toedscool,335,40,40,35,50,100,70
1127,Toedscruel,515,80,70,65,80,120,100
1128,Klawf,450,70,100,115,35,55,75
1129,Capsakid,304,50,62,40,62,40,50
1130,Scovillain,486,65,108,65,108,65,75
1131,Rellor,270,41,50,60,31,58,30
1132,Rabsca,470,75,50,85,115,100,45
1133,Flittle,255,30,35,30,55,30,75
1134,Espathra,481,95,60,60,101,60,105
1135,Tinkatink,297,50,45,45,35,64,58
1136,Tinkatuff,380,65,55,55,45,82,78
1137,Tinkaton,506,85,75,77,70,105,94
1138,Wiglett,245,10,55,25,35,25,95
1139,Wugtrio,425,35,100,50,50,70,120
1140,Bombirdier,485,70,103,85,60,85,82
1141,Finizen,315,70,45,40,45,40,75
1142,Palafin Zero Form,457,100,70,72,53,62,100
1143,Palafin Hero Form,650,100,160,97,106,87,100
1144,Varoom,300,45,70,63,30,45,47
1145,Revavroom,500,80,119,90,54,67,90
1146,Cyclizar,501,70,95,65,85,65,121
1147,Orthworm,480,70,85,145,60,55,65
1148,Glimmet,350,48,35,42,105,60,60
1149,Glimmora,525,83,55,90,130,81,86
1150,Greavard,290,50,61,60,30,55,34
1151,Houndstone,488,72,101,100,50,97,68
1152,Flamigo,500,82,115,74,75,64,90
1153,Cetoddle,334,108,68,45,30,40,43
1154,Cetitan,521,170,113,65,45,55,73
1155,Veluza,478,90,102,73,78,65,70
1156,Dondozo,530,150,100,115,65,65,35
1157,Tatsugiri,475,68,50,60,120,95,82
1158,Annihilape,535,110,115,80,50,90,90
1159,Clodsire,430,130,75,60,45,100,20
1160,Farigiraf,520,120,90,70,110,70,60
1161,Dudunsparce Two-Segment Form,520,125,100,80,85,75,55
1162,Dudunsparce Three-Segment Form,520,125,100,80,85,75,55
1163,Kingambit,550,100,135,120,60,85,50
1164,Great Tusk,570,115,131,131,53,53,87
1165,Scream Tail,570,115,65,99,65,115,111
1166,Brute Bonnet,570,111,127,99,79,99,55
1167,Flutter Mane,570,55,55,55,135,135,135
1168,Slither Wing,570,85,135,79,85,105,81
1169,Sandy Shocks,570,85,81,97,121,85,101
1170,Iron Treads,570,90,112,120,72,70,106
1171,Iron Bundle,570,56,80,114,124,60,136
1172,Iron Hands,570,154,140,108,50,68,50
1173,Iron Jugulis,570,94,80,86,122,80,108
1174,Iron Moth,570,80,70,60,140,110,110
1175,Iron Thorns,570,100,134,110,70,84,72
1176,Frigibax,320,65,75,45,35,45,55
1177,Arctibax,423,90,95,66,45,65,62
1178,Baxcalibur,600,115,145,92,75,86,87
1179,Gimmighoul Chest Form,300,45,30,70,75,70,10
1180,Gimmighoul Roaming Form,300,45,30,25,75,45,80
1181,Gholdengo,550,87,60,95,133,91,84
1182,Wo-Chien,570,85,85,100,95,135,70
1183,Chien-Pao,570,80,120,80,90,65,135
1184,Ting-Lu,570,155,110,125,55,80,45
1185,Chi-Yu,570,55,80,80,135,120,100
1186,Roaring Moon,590,105,139,71,55,101,119
1187,Iron Valiant,590,74,130,90,120,60,116
1188,Koraidon,670,100,135,115,85,100,135
1189,Miraidon,670,100,85,100,135,115,135
